Well Name,INPT ID,"EUR (MBBL, MMCF)","EUR/FT (BBL/FT, MCF/FT)",Phase
Well #292,INPTcel0lu7YTK,232.22333183866627,46.885389024564155,oil
Well #293,INPTldxC45fSj6,0.092,1.7037037037037037,oil
Well #294,INPT.p1JQb90xmg,497.0894153,114.19467385312542,oil
Well #295,INPTU68zzKDRVl,77.39585764121689,19.21446316812733,oil
Well #296,INPTjDEijnImiX,0.007,0.175,oil
Well #297,INPT.wj70ji44hP,391.26049520549225,90.00701523015695,oil
Well #298,INPTFI7S4zOUhX,704.4892969212351,56.831985876188696,oil
Well #299,INPTzLt07Mem9G,0.001,0.006944444,oil
Well #300,INPT.938Kg86mxh,224.81507609549809,51.53944889855527,oil
Well #301,INPT.mx5wUfSuL6,583.8144095609308,82.25055079753885,oil
Well #302,INPT.XLpC54oJYe,597.6884975233996,83.55773766579053,oil
Well #303,INPT.Y2BUgG9dcx,235.2604164325536,50.92216805899428,oil
Well #304,INPT.GdEKlUuvxP,78.88011953074786,17.073618946049322,oil
Well #305,INPT.XNjJkECRez,412.21455563912593,104.19983711808037,oil
Well #306,INPTWzeQQxQC0Z,239.74523224190688,61.22196941826018,oil
Well #307,INPTizvIwHjKeM,481.9243725,112.88928846403888,oil
Well #308,INPTT9paFFJ3WR,343.2876212715657,71.11821447515344,oil
Well #309,INPTfFnOa0q5Lp,520.7406126,119.68297231825397,oil
Well #310,INPTcaSsFdz2lN,302.7658469437361,78.70180581,oil
Well #311,INPTFY2LXZf8XB,411.2170026466487,96.30374769242358,oil
Well #312,INPTS7G2JDHd4A,163.5725840724567,38.98297999820226,oil
Well #313,INPT.L4lMA3jPKu,815.8737135851007,179.03746183565957,oil
Well #314,INPTi994piCmTJ,648.9746665117658,128.6117056107344,oil
Well #315,INPTVH6crTiFuU,420.6006100774752,87.84473895,oil
Well #316,INPTdb1jJ694kM,535.0247809477436,56.27693078234391,oil
Well #317,INPTqVwyl5fLXW,497.96006405547354,51.54332512736503,oil
Well #318,INPTFyh1dGQD3s,453.99796678084766,46.93940930323073,oil
Well #319,INPTSAuu64M4fd,1060.9031788386344,111.21744195813339,oil
Well #320,INPTxS7uYpj1z8,769.1049330423987,81.81097043318782,oil
Well #321,INPTlZIKMd3GWY,798.3317410095162,83.71767418,oil
Well #322,INPT.zTwybnsZkJ,738.8345478250715,108.7480935862631,oil
Well #323,INPTrz84xIRPYH,636.2605706,88.44322639,oil
Well #324,INPTJcdxL6ZlEU,295.94307715921826,50.51947373834385,oil
Well #325,INPTj8Q39MJ7v4,165.64745694887336,137.69530918443337,oil
Well #326,INPTX6sppYb9Cc,269.60142927712985,64.20610366209331,oil
Well #327,INPT2eZwSOR69N,570.9246786170905,78.14463162,oil
Well #328,INPT.JF4rBy026m,1161.4376064045816,253.58899703156803,oil
Well #329,INPT.Y0wr1CJ1RT,377.31637511102036,82.54569571450894,oil
Well #330,INPT.tSYIk64d5S,903.0260834519803,99.62776737113639,oil
Well #331,INPT9rbq769lgq,78.32065631125151,21.422498991042538,oil
Well #332,INPTx8NcgEjXNw,383.4454610523792,84.25521007523163,oil
Well #333,INPT6mWmMPisb1,519.7256304000422,107.55911225166436,oil
Well #334,INPT5dnTTLVmgG,354.4386501232321,74.52452693928345,oil
Well #335,INPThpo5aaHOWC,368.3601723056836,80.25276085091146,oil
Well #336,INPTVBterozlTK,344.1646024588913,79.55723588971135,oil
Well #337,INPTz7w8OZyWnH,383.6270798397268,83.18019944486704,oil
Well #338,INPTVEYxQyLhv0,528.6835400872677,74.04531373771258,oil
Well #339,INPTpHaUmcTGT6,367.69420245148893,53.227302034089305,oil
Well #340,INPToxrMOo2RTG,558.9355650308049,80.94649747006589,oil
Well #341,INPTog56yo8cix,679.0975771321177,94.84603032571476,oil
Well #342,INPTZUfSnAylIt,423.5790518,59.349734033401006,oil
Well #343,INPT5wpHJANNqN,495.43184213828937,70.72545926,oil
Well #344,INPTBONfIBSQoY,668.1798974117264,66.19574969404859,oil
Well #345,INPTaJDdwerXt8,649.7666128026036,64.31422476517902,oil
Well #346,INPTNbnMPXjv18,393.1820853522922,41.093445375448596,oil
Well #347,INPTU7bEOe5Ybz,539.3102268604647,54.475780490956026,oil
Well #348,INPTTOxS809KY6,957.8097680574359,98.87578900149023,oil
Well #349,INPT8vqmx78Ryh,537.3161611,57.61485750084581,oil
Well #350,INPTh7BcMY4dUU,13.947000000000001,154.96666666666667,oil
Well #351,INPTwNVzJodmro,605.3181438,62.61695912136661,oil
Well #352,INPTy8pjogtkur,541.1103626735288,56.06199364624211,oil
Well #353,INPT.x2IlHwoEtu,127.37752041782005,25.039811365799107,oil
Well #354,INPT.V4PTrWB1NP,237.4151062,46.89217977918586,oil
Well #355,INPT.2VHEAIpzzN,218.6940948,47.74980236360262,oil
Well #356,INPT.n0PP5gBgtz,196.7632666274949,42.654079043463014,oil
Well #357,INPT.LmavzEvsWi,227.31455794627325,52.160293241457836,oil
